Announced Date,Ex-Date,Record Date,Payable Date,Currency,Amount,Adj. Amount,Frequency,Type,Description
03-10-2026,05-21-2026,05-21-2026,06-11-2026,USD,0.910,0.910,Quarterly,Regular cash dividend,No special code applies
12-02-2025,02-19-2026,02-19-2026,03-12-2026,USD,0.910,0.910,Quarterly,Regular cash dividend,No special code applies
09-15-2025,11-20-2025,11-20-2025,12-11-2025,USD,0.910,0.910,Quarterly,Regular cash dividend,No special code applies
06-10-2025,08-21-2025,08-21-2025,09-11-2025,USD,0.830,0.830,Quarterly,Regular cash dividend,No special code applies
03-11-2025,05-15-2025,05-15-2025,06-12-2025,USD,0.830,0.830,Quarterly,Regular cash dividend,No special code applies
12-03-2024,02-20-2025,02-20-2025,03-13-2025,USD,0.830,0.830,Quarterly,Regular cash dividend,No special code applies
09-16-2024,11-21-2024,11-21-2024,12-12-2024,USD,0.830,0.830,Quarterly,Regular cash dividend,No special code applies
06-12-2024,08-15-2024,08-15-2024,09-12-2024,USD,0.750,0.750,Quarterly,Regular cash dividend,No special code applies
03-12-2024,05-15-2024,05-16-2024,06-13-2024,USD,0.750,0.750,Quarterly,Regular cash dividend,No special code applies
11-28-2023,02-14-2024,02-15-2024,03-14-2024,USD,0.750,0.750,Quarterly,Regular cash dividend,No special code applies
09-18-2023,11-15-2023,11-16-2023,12-14-2023,USD,0.750,0.750,Quarterly,Regular cash dividend,No special code applies
06-13-2023,08-16-2023,08-17-2023,09-14-2023,USD,0.680,0.680,Quarterly,Regular cash dividend,No special code applies
03-14-2023,05-17-2023,05-18-2023,06-08-2023,USD,0.680,0.680,Quarterly,Regular cash dividend,No special code applies
11-29-2022,02-15-2023,02-16-2023,03-09-2023,USD,0.680,0.680,Quarterly,Regular cash dividend,No special code applies
09-19-2022,11-16-2022,11-17-2022,12-08-2022,USD,0.680,0.680,Quarterly,Regular cash dividend,No special code applies
06-14-2022,08-17-2022,08-18-2022,09-08-2022,USD,0.620,0.620,Quarterly,Regular cash dividend,No special code applies
03-14-2022,05-18-2022,05-19-2022,06-09-2022,USD,0.620,0.620,Quarterly,Regular cash dividend,No special code applies
12-07-2021,02-16-2022,02-17-2022,03-10-2022,USD,0.620,0.620,Quarterly,Regular cash dividend,No special code applies
09-14-2021,11-17-2021,11-18-2021,12-09-2021,USD,0.620,0.620,Quarterly,Regular cash dividend,No special code applies
06-16-2021,08-18-2021,08-19-2021,09-09-2021,USD,0.560,0.560,Quarterly,Regular cash dividend,No special code applies
03-16-2021,05-19-2021,05-20-2021,06-10-2021,USD,0.560,0.560,Quarterly,Regular cash dividend,No special code applies
12-02-2020,02-17-2021,02-18-2021,03-11-2021,USD,0.560,0.560,Quarterly,Regular cash dividend,No special code applies
09-15-2020,11-18-2020,11-19-2020,12-10-2020,USD,0.560,0.560,Quarterly,Regular cash dividend,No special code applies
06-17-2020,08-19-2020,08-20-2020,09-10-2020,USD,0.510,0.510,Quarterly,Regular cash dividend,No special code applies
03-09-2020,05-20-2020,05-21-2020,06-11-2020,USD,0.510,0.510,Quarterly,Regular cash dividend,No special code applies
12-04-2019,02-19-2020,02-20-2020,03-12-2020,USD,0.510,0.510,Quarterly,Regular cash dividend,No special code applies
09-18-2019,11-20-2019,11-21-2019,12-12-2019,USD,0.510,0.510,Quarterly,Regular cash dividend,No special code applies
06-12-2019,08-14-2019,08-15-2019,09-12-2019,USD,0.460,0.460,Quarterly,Regular cash dividend,No special code applies
03-11-2019,05-15-2019,05-16-2019,06-13-2019,USD,0.460,0.460,Quarterly,Regular cash dividend,No special code applies
11-28-2018,02-20-2019,02-21-2019,03-14-2019,USD,0.460,0.460,Quarterly,Regular cash dividend,No special code applies
09-18-2018,11-14-2018,11-15-2018,12-13-2018,USD,0.460,0.460,Quarterly,Regular cash dividend,No special code applies
06-13-2018,08-15-2018,08-16-2018,09-13-2018,USD,0.420,0.420,Quarterly,Regular cash dividend,No special code applies
03-12-2018,05-16-2018,05-17-2018,06-14-2018,USD,0.420,0.420,Quarterly,Regular cash dividend,No special code applies
11-29-2017,02-14-2018,02-15-2018,03-08-2018,USD,0.420,0.420,Quarterly,Regular cash dividend,No special code applies
09-19-2017,11-15-2017,11-16-2017,12-14-2017,USD,0.420,0.420,Quarterly,Regular cash dividend,No special code applies
06-13-2017,08-15-2017,08-17-2017,09-14-2017,USD,0.390,0.390,Quarterly,Regular cash dividend,No special code applies
03-14-2017,05-16-2017,05-18-2017,06-08-2017,USD,0.390,0.390,Quarterly,Regular cash dividend,No special code applies
11-30-2016,02-14-2017,02-16-2017,03-09-2017,USD,0.390,0.390,Quarterly,Regular cash dividend,No special code applies
Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted
Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted
Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted
Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted
Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted
Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted
Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted,Data Restricted
