section,label,3Q FY2016,4Q FY2016,1Q FY2017,2Q FY2017,3Q FY2017,4Q FY2017,1Q FY2018,2Q FY2018,3Q FY2018,4Q FY2018,1Q FY2019,2Q FY2019,3Q FY2019,4Q FY2019,1Q FY2020,2Q FY2020,3Q FY2020,4Q FY2020,1Q FY2021,2Q FY2021,3Q FY2021,4Q FY2021,1Q FY2022,2Q FY2022,3Q FY2022,4Q FY2022,1Q FY2023,2Q FY2023,3Q FY2023,4Q FY2023,1Q FY2024,2Q FY2024,3Q FY2024,4Q FY2024,1Q FY2025,2Q FY2025,3Q FY2025,4Q FY2025,1Q FY2026,2Q FY2026,3Q FY2026,Current/LTM
Revenues,Total Revenues,20.5B,20.6B,21.9B,25.8B,23.2B,25.6B,24.5B,28.9B,26.8B,30.1B,29.1B,32.5B,30.6B,33.7B,33.1B,36.9B,35.0B,38.0B,37.2B,43.1B,41.7B,46.2B,45.3B,51.7B,49.4B,51.9B,50.1B,52.7B,52.9B,56.2B,56.5B,62.0B,61.9B,64.7B,65.6B,69.6B,70.1B,76.4B,77.7B,81.3B,82.9B,318.3B
Revenues,Revenues,20.5B,20.6B,21.9B,25.8B,23.2B,25.6B,24.5B,28.9B,26.8B,30.1B,29.1B,32.5B,30.6B,33.7B,33.1B,36.9B,35.0B,38.0B,37.2B,43.1B,41.7B,46.2B,45.3B,51.7B,49.4B,51.9B,50.1B,52.7B,52.9B,56.2B,56.5B,62.0B,61.9B,64.7B,65.6B,69.6B,70.1B,76.4B,77.7B,81.3B,82.9B,318.3B
Revenues,Finance Div. Revenues,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenues,Insurance Division Revenues,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenues,Other Revenues,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenues,YoY Growth %,(5.51)%,(7.06)%,7.60%,8.53%,13.06%,24.21%,11.90%,11.97%,15.54%,17.50%,18.53%,12.29%,13.99%,12.07%,13.65%,13.66%,14.56%,12.80%,12.40%,16.72%,19.09%,21.35%,21.97%,20.09%,18.35%,12.38%,10.60%,1.97%,7.08%,8.34%,12.76%,17.58%,17.03%,15.20%,16.04%,12.27%,13.27%,18.10%,18.43%,16.72%,18.30%,17.87%
Gross Profit,Cost Of Revenues,7.7B,8.0B,7.8B,9.9B,8.1B,8.0B,8.3B,11.1B,9.3B,9.7B,9.9B,12.4B,10.2B,10.4B,10.4B,12.4B,11.0B,12.3B,11.0B,14.2B,13.0B,14.0B,13.6B,17.0B,15.6B,16.4B,15.5B,17.3B,16.1B,16.8B,16.3B,19.6B,18.5B,19.7B,20.1B,21.8B,21.9B,24.0B,24.0B,26.0B,26.8B,100.9B
Gross Profit,Gross Profit (Loss),12.8B,12.6B,14.1B,15.9B,15.2B,17.6B,16.3B,17.9B,17.6B,20.3B,19.2B,20.0B,20.4B,23.3B,22.6B,24.5B,24.0B,25.7B,26.2B,28.9B,28.7B,32.2B,31.7B,34.8B,33.7B,35.4B,34.7B,35.4B,36.7B,39.4B,40.2B,42.4B,43.4B,45.0B,45.5B,47.8B,48.1B,52.4B,53.6B,55.3B,56.1B,217.4B
Gross Profit,YoY Growth %,(12.07)%,(14.12)%,6.92%,14.37%,18.29%,38.98%,15.45%,12.11%,15.83%,15.85%,17.95%,12.29%,16.25%,14.56%,18.09%,22.45%,17.87%,10.25%,15.47%,17.66%,19.19%,25.17%,21.10%,20.38%,17.74%,10.18%,9.47%,1.85%,8.84%,11.17%,15.99%,19.73%,18.03%,14.34%,13.11%,12.82%,11.06%,16.39%,17.90%,15.60%,16.43%,16.57%
Operating Income & Expenses,Selling General & Admin Expenses,4.5B,5.3B,4.3B,5.0B,5.1B,4.5B,5.0B,5.7B,5.5B,6.0B,5.2B,5.7B,5.7B,6.4B,5.4B,6.1B,6.2B,6.9B,5.3B,6.1B,6.4B,7.4B,5.8B,6.8B,7.1B,8.1B,6.5B,8.0B,7.4B,8.4B,6.7B,8.2B,8.1B,9.1B,7.4B,8.3B,7.9B,9.3B,7.5B,8.5B,8.7B,34.1B
