Section,Metric,FY 2016,FY 2017,FY 2018,FY 2019,FY 2020,FY 2021,FY 2022,FY 2023,FY 2024,FY 2025,Current/LTM
Returns,Return on Assets,9.24,8.26,8.61,9.85,11.26,13.76,14.92,14.24,14.80,14.20,14.81
Returns,Return On Equity,27.01,31.92,19.45,42.41,40.14,47.08,47.15,38.82,37.13,33.28,34.01
Returns,Return on Total Capital,14.04,11.84,12.40,14.96,17.01,20.58,22.21,20.85,20.98,19.55,19.26
Returns,Return on Common Equity,27.01,31.92,19.45,42.41,40.14,47.08,47.15,38.82,37.13,33.28,34.01
Margins,EBITDA Margin,36.27,38.45,40.74,43.35,45.63,48.08,49.42,48.14,52.80,55.56,57.96
Margins,EBITA Margin,30.90,32.13,33.76,35.65,38.15,42.55,43.06,42.95,46.60,47.75,48.44
Margins,EBIT Margin,29.83,30.37,31.77,34.14,37.03,41.59,42.06,41.77,44.64,45.62,46.80
Margins,EBT Margin,,,,,,,,,,,
Margins,EBT Excl. Non-Recurring Items Margin,,,,,,,,,,,
Margins,Gross Profit Margin,64.04,64.52,65.25,65.90,67.78,68.93,68.40,68.92,69.76,68.82,68.31
Margins,SG&A Margin,21.06,20.65,20.14,18.35,17.28,15.01,13.98,14.31,13.08,11.67,10.70
Margins,Net Income Margin,22.53,26.39,15.02,31.18,30.96,36.45,36.69,34.15,35.96,36.15,39.34
Margins,Net Avail. For Common Margin,22.53,26.39,15.02,31.18,30.96,36.45,36.69,34.15,35.96,36.15,39.34
Margins,Normalized Net Income Margin,17.90,18.00,19.25,21.38,23.16,25.98,26.24,26.45,27.89,28.61,31.05
Asset Turnovers,Receivables Turnover (Average Receivables),5.0,4.7,4.5,4.5,4.6,4.8,4.8,4.6,4.6,4.4,5.7
Asset Turnovers,Fixed Assets Turnover (Average Fixed Assets),5.5,4.0,3.3,3.1,3.0,2.7,2.5,2.1,1.9,1.5,1.2
Asset Turnovers,Inventory Turnover (Average Inventory),12.7,15.5,15.8,18.2,23.3,23.1,19.6,21.1,39.6,80.4,97.6
Asset Turnovers,Asset Turnover,0.5,0.4,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.5,0.5
Asset Turnovers,Days Outstanding Inventory (Avg),28.8,23.6,23.0,20.1,15.7,15.8,18.6,17.3,9.2,4.5,3.7
Short-term Liquidity,Current Ratio,2.4,2.9,2.9,2.5,2.5,2.1,1.8,1.8,1.3,1.4,1.3
Short-term Liquidity,Quick Ratio,2.2,2.8,2.7,2.4,2.3,1.9,1.6,1.6,1.1,1.2,1.1
Short-term Liquidity,Days Sales Outstanding (Average Receivables),72.6,76.9,80.9,81.2,78.7,76.1,75.8,80.0,78.8,82.2,64.1
Short-term Liquidity,Days Payable Outstanding (Avg),76.8,76.3,75.2,77.6,87.3,95.4,97.8,104.8,100.7,103.7,114.9
Short-term Liquidity,Cash Conversion Cycle (Average Days),24.6,24.3,28.7,23.7,7.1,(3.5),(3.5),(7.4),(12.6),(17.0),(47.1)
Short-term Liquidity,Operating Cash Flow to Current Liabilities,0.6,0.7,0.8,0.8,0.8,0.9,0.9,0.8,0.9,1.0,1.2
