Calendar Years Period Ending Report Date,CY 2023A Jun-30-2023 Jul-25-2023,CY 2024A Jun-30-2024 Jul-30-2024,CY 2025A Jun-30-2025 Jul-30-2025,CY 2026E Jun-30-2026 -,CY 2027E Jun-30-2027 -,CY 2028E Jun-30-2028 -
Income Statement
"Sales, Adjusted",211.9,245.1,281.7,329.5,384.0,452.9
Consensus Estimates,,,,,,
Average,211.2,245.0,279.1,329.5,384.0,452.9
Median,211.2,244.8,279.2,329.3,384.0,453.5
High,213.9,248.5,283.1,333.1,406.2,503.4
Low,207.8,244.4,276.5,328.7,369.1,429.8
# of Analyst Estimates,47,51,54,48,53,36
YoY % Chg,6.88,15.67,14.93,16.96,16.54,17.96
Price / Sales,11.9,13.6,13.1,9.5,8.2,6.9
EV / Sales,11.8,13.7,13.2,9.7,8.3,7.0
"Gross Profit, Adjusted",146.1,171.0,193.9,223.4,256.2,298.2
Consensus Estimates,,,,,,
Average,144.9,170.8,191.7,223.4,256.2,298.2
Median,145.3,170.8,191.5,223.1,256.7,299.2
High,145.3,171.5,194.7,225.1,266.5,316.6
Low,140.7,169.1,189.5,223.1,243.5,271.3
# of Analyst Estimates,34,40,40,37,40,28
YoY % Chg,7.69,17.09,13.38,15.23,14.68,16.38
Gross Margin %,68.92,69.76,68.82,67.80,66.72,65.83
EV / Gross Profit,17.2,19.6,19.2,14.2,12.4,10.7
"EBITDA, Adjusted",103.6,131.7,162.7,198.2,239.2,291.2
Consensus Estimates,,,,,,
Average,101.4,129.7,155.9,198.2,239.2,291.2
Median,101.5,130.2,156.7,197.2,239.3,295.3
High,103.3,132.6,160.1,218.9,254.7,315.5
Low,97.2,123.0,145.5,184.5,219.3,255.5
# of Analyst Estimates,19,22,24,24,24,16
YoY % Chg,5.84,27.20,23.51,21.85,20.68,21.72
EBITDA Adj. Margin %,48.87,53.74,57.74,60.16,62.30,64.28
EV / EBITDA,24.2,25.4,22.9,16.0,13.3,10.9
"EBIT, Adjusted",89.7,109.4,128.5,153.7,178.6,209.7
Balance Sheet
Net Debt,(64.0),(30.6),(51.4),(48.6),(47.5),(79.2)
Consensus Estimates,,,,,,
Average,(64.8),(25.7),(47.8),(48.6),(47.5),(79.2)
Median,(64.7),(28.8),(46.7),(51.2),(49.3),(68.2)
