Fiscal Period,Period Ending,Report Date,Est Low Sales,Est High Sales,Est Avg Sales,Actual Sales,Sales Surprise,Surprise (%),1D Price Reaction(%),TTM,EV/Sales,Year Group
3Q 2026,03-31-2026,04-29-2026,$81.00B,$82.47B,$81.43B,$82.89B,Beat by $1.46B,1.79%,-3.93%,$318.27B,10.1x,CY 2026
2Q 2026,12-31-2025,01-28-2026,$78.58B,$81.66B,$80.27B,$81.27B,Beat by $1.00B,1.25%,-9.99%,$305.45B,11.8x,CY 2026
1Q 2026,09-30-2025,10-29-2025,$70.07B,$76.64B,$75.39B,$77.67B,Beat by $2.28B,3.03%,-2.92%,$293.81B,13.8x,CY 2025
4Q 2025,06-30-2025,07-30-2025,$73.05B,$74.72B,$73.87B,$76.44B,Beat by $2.57B,3.48%,0.13%,$281.72B,13.6x,CY 2025
3Q 2025,03-31-2025,04-30-2025,$66.39B,$69.36B,$68.44B,$70.07B,Beat by $1.62B,2.37%,7.63%,$270.01B,11.0x,CY 2025
2Q 2025,12-31-2024,01-29-2025,$68.16B,$70.52B,$68.81B,$69.63B,Beat by $823.09M,1.20%,-6.18%,$261.80B,12.7x,CY 2025
1Q 2025,09-30-2024,10-30-2024,$64.22B,$65.20B,$64.56B,$65.59B,Beat by $1.03B,1.59%,-6.05%,$254.19B,12.7x,CY 2024
4Q 2024,06-30-2024,07-30-2024,$64.00B,$65.54B,$64.44B,$64.73B,Beat by $287.80M,0.45%,-1.08%,$245.12B,12.9x,CY 2024
3Q 2024,03-31-2024,04-25-2024,$60.27B,$62.06B,$60.88B,$61.86B,Beat by $977.92M,1.61%,1.82%,$236.58B,12.6x,CY 2024
2Q 2024,12-31-2023,01-30-2024,$58.67B,$62.11B,$61.13B,$62.02B,Beat by $890.68M,1.46%,-2.69%,$227.58B,13.5x,CY 2024
1Q 2024,09-30-2023,10-24-2023,$53.87B,$55.35B,$54.55B,$56.52B,Beat by $1.97B,3.62%,3.07%,$218.31B,11.1x,CY 2023
4Q 2023,06-30-2023,07-25-2023,$54.71B,$56.20B,$55.49B,$56.19B,Beat by $698.86M,1.26%,-3.76%,$211.91B,12.2x,CY 2023
3Q 2023,03-31-2023,04-25-2023,$50.12B,$51.67B,$51.02B,$52.86B,Beat by $1.83B,3.59%,7.24%,$207.59B,9.7x,CY 2023
2Q 2023,12-31-2022,01-24-2023,$51.73B,$57.22B,$53.16B,$52.75B,Missed by $-409.46M,-0.77%,-0.59%,$204.09B,8.7x,CY 2023
1Q 2023,09-30-2022,10-25-2022,$48.57B,$51.44B,$49.69B,$50.12B,Beat by $435.21M,0.88%,-7.72%,$203.08B,9.1x,CY 2022
4Q 2022,06-30-2022,07-26-2022,$51.73B,$52.77B,$52.36B,$51.87B,Missed by $-493.37M,-0.94%,6.69%,$198.27B,9.3x,CY 2022
3Q 2022,03-31-2022,04-26-2022,$48.59B,$49.72B,$49.05B,$49.36B,Beat by $312.66M,0.64%,4.81%,$192.56B,10.4x,CY 2022
2Q 2022,12-31-2021,01-25-2022,$46.92B,$51.80B,$50.79B,$51.73B,Beat by $938.45M,1.85%,2.85%,$184.90B,11.5x,CY 2022
1Q 2022,09-30-2021,10-26-2021,$43.56B,$44.77B,$43.99B,$45.32B,Beat by $1.33B,3.03%,4.21%,$176.25B,12.9x,CY 2021
4Q 2021,06-30-2021,07-27-2021,$43.67B,$44.91B,$44.30B,$46.15B,Beat by $1.85B,4.18%,-0.11%,$168.09B,12.5x,CY 2021
