ticker,metric,fiscal_period,analyst_count,estimate_low,estimate_high,average,yoy_chg_pct,ev_multiple,price_multiple
MSFT,Sales,FY 2026,48,328.73B,333.07B,329.50B,16.96%,9.7x,
MSFT,Sales,FY 2027,53,369.09B,406.23B,384.00B,16.54%,8.3x,
MSFT,Sales,FY 2028,36,429.78B,503.41B,452.94B,17.96%,7.0x,
MSFT,Sales,FY 2029,9,477.30B,577.37B,528.13B,16.60%,6.0x,
MSFT,Sales,FY 2030,7,524.55B,710.43B,606.74B,14.88%,5.2x,
MSFT,Sales,FY 2031,6,571.29B,879.29B,688.26B,13.43%,4.6x,
MSFT,Sales,FY 2032,5,617.10B,922.10B,730.72B,6.17%,4.4x,
MSFT,Sales,FY 2033,5,661.64B,1088.08B,817.12B,11.83%,3.9x,
MSFT,Sales,FY 2034,5,704.61B,1278.49B,909.01B,11.25%,3.5x,
MSFT,Sales,FY 2035,5,745.80B,1495.84B,1007.74B,10.86%,3.2x,
MSFT,EBITDA,FY 2026,24,184.51B,218.92B,198.22B,21.85%,16.0x,
MSFT,EBITDA,FY 2027,24,219.28B,254.69B,239.21B,20.68%,13.3x,
MSFT,EBITDA,FY 2028,16,255.54B,315.48B,291.17B,21.72%,10.9x,
MSFT,EBITDA,FY 2029,3,326.18B,375.14B,357.25B,22.69%,8.9x,
MSFT,EBITDA,FY 2030,1,372.85B,372.85B,372.85B,4.37%,8.5x,
MSFT,EBITDA,FY 2031,1,423.55B,423.55B,423.55B,13.60%,7.5x,
MSFT,EBITDA,FY 2032,1,478.30B,478.30B,478.30B,12.93%,6.7x,
MSFT,EBITDA,FY 2033,1,537.07B,537.07B,537.07B,12.29%,5.9x,
MSFT,EBITDA,FY 2034,1,599.81B,599.81B,599.81B,11.68%,5.3x,
MSFT,EBITDA,FY 2035,1,666.41B,666.41B,666.41B,11.10%,4.8x,
MSFT,EBIT,FY 2026,46,152.84B,157.41B,153.66B,19.55%,20.7x,
MSFT,EBIT,FY 2027,50,170.50B,190.00B,178.64B,16.25%,17.8x,
MSFT,EBIT,FY 2028,34,190.75B,236.26B,209.72B,17.40%,15.2x,
MSFT,EBIT,FY 2029,7,228.51B,259.34B,246.10B,17.35%,12.9x,
MSFT,EBIT,FY 2030,5,261.57B,309.81B,285.81B,16.14%,11.1x,
MSFT,EBIT,FY 2031,3,293.98B,401.82B,352.55B,23.35%,9.0x,
MSFT,EBIT,FY 2032,2,328.37B,428.78B,378.57B,7.38%,8.4x,
MSFT,EBIT,FY 2033,2,364.80B,511.40B,438.10B,15.72%,7.3x,
MSFT,EBIT,FY 2034,2,402.95B,600.89B,501.92B,14.57%,6.3x,
MSFT,EBIT,FY 2035,2,442.50B,703.04B,572.77B,14.12%,5.6x,
MSFT,EPS,FY 2026,25,16.70,17.63,16.85,23.50%,,25.0x
MSFT,EPS,FY 2027,37,18.13,20.57,19.37,14.99%,,21.8x
MSFT,EPS,FY 2028,26,19.00,23.70,22.53,16.30%,,18.7x
MSFT,EPS,FY 2029,5,25.57,28.78,27.47,21.94%,,15.4x
MSFT,EPS,FY 2030,3,29.13,34.28,31.94,16.26%,,13.2x
MSFT,EPS,FY 2031,2,32.88,44.70,38.79,21.45%,,10.9x
MSFT,EPS,FY 2032,1,36.88,36.88,36.88,-4.92%,,11.4x
MSFT,EPS,FY 2033,1,41.13,41.13,41.13,11.52%,,10.3x
MSFT,EPS,FY 2034,1,45.60,45.60,45.60,10.87%,,9.3x
MSFT,EPS,FY 2035,1,50.24,50.24,50.24,10.18%,,8.4x
MSFT,EPS GAAP,FY 2026,33,16.81,17.88,17.32,27.00%,,
MSFT,EPS GAAP,FY 2027,37,18.21,23.27,19.50,12.56%,,
MSFT,EPS GAAP,FY 2028,22,21.10,26.96,22.99,17.88%,,
MSFT,EPS GAAP,FY 2029,4,25.57,28.78,27.18,18.24%,,
MSFT,EPS GAAP,FY 2030,3,29.13,34.28,31.94,17.52%,,
MSFT,EPS GAAP,FY 2031,2,32.88,44.70,38.79,21.45%,,
MSFT,EPS GAAP,FY 2032,1,36.88,36.88,36.88,-4.92%,,
MSFT,EPS GAAP,FY 2033,1,41.13,41.13,41.13,11.52%,,
MSFT,EPS GAAP,FY 2034,1,45.60,45.60,45.60,10.87%,,
MSFT,EPS GAAP,FY 2035,1,50.24,50.24,50.24,10.18%,,
