Date,Ticker,Return%,Marker
2025-05-15,MSFT,0.00,
2025-05-16,MSFT,0.25,
2025-05-19,MSFT,1.27,
2025-05-20,MSFT,1.11,
2025-05-21,MSFT,-0.12,
2025-05-22,MSFT,0.38,
2025-05-23,MSFT,-0.65,
2025-05-27,MSFT,1.67,
2025-05-28,MSFT,0.93,
2025-05-29,MSFT,1.22,
2025-05-30,MSFT,1.60,
2025-06-02,MSFT,1.95,
2025-06-03,MSFT,2.17,
2025-06-04,MSFT,2.37,
2025-06-05,MSFT,3.21,
2025-06-06,MSFT,3.81,
2025-06-09,MSFT,4.33,
2025-06-10,MSFT,3.93,
2025-06-11,MSFT,4.30,
2025-06-12,MSFT,5.68,
2025-06-13,MSFT,4.82,
2025-06-16,MSFT,5.74,
2025-06-17,MSFT,5.50,
2025-06-18,MSFT,5.98,
2025-06-20,MSFT,5.36,
2025-06-23,MSFT,7.25,
2025-06-24,MSFT,8.16,
2025-06-25,MSFT,8.64,
2025-06-26,MSFT,9.78,
2025-06-27,MSFT,9.45,
2025-06-30,MSFT,9.77,
2025-07-01,MSFT,8.59,
2025-07-02,MSFT,8.38,
2025-07-03,MSFT,10.09,
2025-07-07,MSFT,9.84,
2025-07-08,MSFT,9.60,
2025-07-09,MSFT,11.12,
2025-07-10,MSFT,10.67,
2025-07-11,MSFT,11.08,
2025-07-14,MSFT,11.01,
2025-07-15,MSFT,11.63,
2025-07-16,MSFT,11.58,
2025-07-17,MSFT,12.93,
2025-07-18,MSFT,12.56,
2025-07-21,MSFT,12.56,
2025-07-22,MSFT,11.51,
2025-07-23,MSFT,11.64,
2025-07-24,MSFT,12.74,
2025-07-25,MSFT,13.37,
2025-07-28,MSFT,13.10,
2025-07-29,MSFT,13.12,
2025-07-30,MSFT,13.27,
2025-07-31,MSFT,17.74,
2025-08-01,MSFT,15.66,
2025-08-04,MSFT,18.21,
2025-08-05,MSFT,16.47,
2025-08-06,MSFT,15.85,
2025-08-07,MSFT,14.94,
2025-08-08,MSFT,15.21,
2025-08-11,MSFT,15.15,
2025-08-12,MSFT,16.80,
2025-08-13,MSFT,14.89,
2025-08-14,MSFT,15.30,
2025-08-15,MSFT,14.79,
2025-08-18,MSFT,14.12,
2025-08-19,MSFT,12.50,
2025-08-20,MSFT,11.61,
2025-08-21,MSFT,11.46,
2025-08-22,MSFT,12.12,
2025-08-25,MSFT,11.47,
2025-08-26,MSFT,10.98,
2025-08-27,MSFT,12.01,
2025-08-28,MSFT,12.66,
2025-08-29,MSFT,12.00,
2025-09-02,MSFT,11.66,
2025-09-03,MSFT,11.71,
2025-09-04,MSFT,12.29,
2025-09-05,MSFT,9.42,
2025-09-08,MSFT,10.13,
2025-09-09,MSFT,10.17,
2025-09-10,MSFT,10.61,
2025-09-11,MSFT,10.75,
2025-09-12,MSFT,12.71,
2025-09-15,MSFT,13.92,
2025-09-16,MSFT,12.52,
2025-09-17,MSFT,12.74,
2025-09-18,MSFT,12.39,
2025-09-19,MSFT,14.49,
2025-09-22,MSFT,13.72,
2025-09-23,MSFT,12.57,
2025-09-24,MSFT,12.77,
2025-09-25,MSFT,12.08,
2025-09-26,MSFT,13.06,
2025-09-29,MSFT,13.75,
2025-09-30,MSFT,14.49,
2025-10-01,MSFT,14.88,
2025-10-02,MSFT,14.00,
2025-10-03,MSFT,14.36,
2025-10-06,MSFT,16.84,
2025-10-07,MSFT,15.83,
2025-10-08,MSFT,16.02,
2025-10-09,MSFT,15.48,
2025-10-10,MSFT,12.95,
2025-10-13,MSFT,13.63,
2025-10-14,MSFT,13.52,
2025-10-15,MSFT,13.49,
2025-10-16,MSFT,13.09,
2025-10-17,MSFT,13.53,
2025-10-20,MSFT,14.24,
2025-10-21,MSFT,14.43,
2025-10-22,MSFT,15.07,
2025-10-23,MSFT,15.07,
2025-10-24,MSFT,15.74,
2025-10-27,MSFT,17.49,
2025-10-28,MSFT,19.82,High
2025-10-29,MSFT,19.71,
2025-10-30,MSFT,16.22,
2025-10-31,MSFT,14.46,
2025-11-03,MSFT,14.29,
2025-11-04,MSFT,13.69,
2025-11-05,MSFT,12.11,
2025-11-06,MSFT,9.88,
2025-11-07,MSFT,9.82,
2025-11-10,MSFT,11.85,
2025-11-11,MSFT,12.44,
2025-11-12,MSFT,12.99,
2025-11-13,MSFT,11.25,
2025-11-14,MSFT,12.78,
2025-11-17,MSFT,12.18,
2025-11-18,MSFT,9.15,
2025-11-19,MSFT,7.68,
2025-11-20,MSFT,5.95,
2025-11-21,MSFT,4.56,
2025-11-24,MSFT,4.97,
2025-11-25,MSFT,5.64,
2025-11-26,MSFT,7.52,
2025-11-28,MSFT,8.96,
2025-12-01,MSFT,7.80,
2025-12-02,MSFT,8.52,
2025-12-03,MSFT,5.80,
2025-12-04,MSFT,6.49,
2025-12-05,MSFT,7.00,
2025-12-08,MSFT,8.74,
2025-12-09,MSFT,8.96,
2025-12-10,MSFT,5.98,
2025-12-11,MSFT,7.07,
2025-12-12,MSFT,5.98,
2025-12-15,MSFT,5.16,
2025-12-16,MSFT,5.50,
2025-12-17,MSFT,5.44,
2025-12-18,MSFT,7.18,
2025-12-19,MSFT,7.61,
2025-12-22,MSFT,7.39,
2025-12-23,MSFT,7.82,
2025-12-24,MSFT,8.08,
2025-12-26,MSFT,8.01,
2025-12-29,MSFT,7.87,
2025-12-30,MSFT,7.96,
2025-12-31,MSFT,7.10,
2026-01-02,MSFT,4.74,
2026-01-05,MSFT,4.72,
2026-01-06,MSFT,5.97,
2026-01-07,MSFT,7.07,
2026-01-08,MSFT,5.88,
2026-01-09,MSFT,6.14,
2026-01-12,MSFT,5.68,
2026-01-13,MSFT,4.24,
2026-01-14,MSFT,1.74,
2026-01-15,MSFT,1.13,
2026-01-16,MSFT,1.84,
2026-01-20,MSFT,0.66,
2026-01-21,MSFT,-1.65,
2026-01-22,MSFT,-0.09,
2026-01-23,MSFT,3.19,
2026-01-26,MSFT,4.15,
2026-01-27,MSFT,6.43,
2026-01-28,MSFT,6.66,
2026-01-29,MSFT,-4.00,
2026-01-30,MSFT,-4.71,
2026-02-02,MSFT,-6.24,
2026-02-03,MSFT,-8.93,
2026-02-04,MSFT,-8.27,
2026-02-05,MSFT,-12.82,
2026-02-06,MSFT,-11.16,
2026-02-09,MSFT,-8.40,
2026-02-10,MSFT,-8.48,
2026-02-11,MSFT,-10.45,
2026-02-12,MSFT,-11.01,
2026-02-13,MSFT,-11.12,
2026-02-17,MSFT,-12.11,
2026-02-18,MSFT,-11.50,
2026-02-19,MSFT,-11.55,
2026-02-20,MSFT,-11.83,
2026-02-23,MSFT,-14.66,
2026-02-24,MSFT,-13.65,
2026-02-25,MSFT,-11.08,
2026-02-26,MSFT,-10.83,
2026-02-27,MSFT,-12.82,
2026-03-02,MSFT,-11.53,
2026-03-03,MSFT,-10.34,
2026-03-04,MSFT,-10.06,
2026-03-05,MSFT,-8.84,
2026-03-06,MSFT,-9.22,
2026-03-09,MSFT,-9.12,
2026-03-10,MSFT,-9.93,
2026-03-11,MSFT,-10.13,
2026-03-12,MSFT,-10.80,
2026-03-13,MSFT,-12.20,
2026-03-16,MSFT,-11.22,
2026-03-17,MSFT,-11.34,
2026-03-18,MSFT,-13.03,
2026-03-19,MSFT,-13.65,
2026-03-20,MSFT,-15.24,
2026-03-23,MSFT,-14.99,
2026-03-24,MSFT,-17.26,
2026-03-25,MSFT,-17.64,
2026-03-26,MSFT,-18.77,
2026-03-27,MSFT,-20.81,Low
2026-03-30,MSFT,-20.32,
2026-03-31,MSFT,-17.83,
2026-04-01,MSFT,-18.01,
2026-04-02,MSFT,-17.10,
2026-04-06,MSFT,-17.23,
2026-04-07,MSFT,-17.36,
2026-04-08,MSFT,-16.91,
2026-04-09,MSFT,-17.19,
2026-04-10,MSFT,-17.68,
2026-04-13,MSFT,-14.68,
2026-04-14,MSFT,-12.74,
2026-04-15,MSFT,-8.72,
2026-04-16,MSFT,-6.72,
2026-04-17,MSFT,-6.15,
2026-04-20,MSFT,-7.20,
2026-04-21,MSFT,-5.85,
2026-04-22,MSFT,-3.91,
2026-04-23,MSFT,-7.72,
2026-04-24,MSFT,-5.75,
2026-04-27,MSFT,-5.70,
2026-04-28,MSFT,-4.72,
2026-04-29,MSFT,-5.78,
2026-04-30,MSFT,-9.49,
2026-05-01,MSFT,-8.01,
2026-05-04,MSFT,-8.19,
2026-05-05,MSFT,-8.69,
